	SRR7217923	SRR7217925	SRR7217927	SRR7217929
mdfA	24	42	18	16
ybjH	2	1	3	0
ybjI	11	28	17	29
ybjJ	17	16	13	15
rcdA	6	9	17	8
rybB	0	0	0	0
ybjL	53	56	71	44
ybjM	1	1	2	4
grxA	5	3	2	1
ybjC	3	3	2	4
nfsA	46	45	41	35
rimK	45	32	33	27
ybjN	44	31	51	43
potF	4	7	0	3
potG	2	1	1	0
potH	1	0	0	0
potI	2	0	0	1
ybjO	2	2	5	1
rlmC	11	6	9	3
artJ	13	19	1	9
artM	46	38	24	37
artQ	48	36	29	38
artI	80	74	78	92
artP	47	46	26	33
ybjP	3	12	15	35
ybjQ	6	4	11	9
amiD	38	32	44	58
ybjS	35	19	26	19
ybjT	18	20	25	37
ltaE	43	40	45	58
poxB	51	45	54	52
hcr	13	2	28	25
hcp	17	23	74	99
lysO	27	10	2	4
aqpZ	10	4	5	5
ybjD	42	34	75	84
ybjX	52	58	44	35
macA	24	18	24	26
macB	23	14	27	31
cspD	7	8	10	24
clpS	4	1	1	9
clpA	840	827	1820	1805
serW	0	0	0	0
infA	34	37	20	21
aat	9	4	6	6
cydC	46	51	50	56
cydD	26	26	35	28
trxB	132	112	61	75
lrp	73	44	71	68
ftsK	366	314	299	309
lolA	28	37	39	58
rarA	70	55	65	64
serS	667	664	1046	1145
dmsA	564	505	1274	1401
dmsB	117	69	176	228
dmsC	214	170	376	449
ycaC	17	11	17	19
ycaD	16	4	8	6
ycaM	17	14	13	12
ycaN	4	3	3	1
ycaK	1	0	0	0
pflA	63	42	67	57
pflB	7867	8979	9474	10290
focA	86	69	254	151
ycaO	213	196	78	67
ycaP	5	2	5	7
serC	90	62	71	83
aroA	22	38	27	14
ycaL	3	4	3	1
cmk	59	65	32	22
rpsA	5063	5673	2558	2304
ihfB	14	14	23	18
ycaI	7	5	8	11
msbA	216	221	126	127
lpxK	59	70	49	44
ycaQ	12	6	6	7
ycaR	2	1	1	2
kdsB	68	57	95	76
ycbJ	117	189	531	597
elyC	19	13	25	20
cmoM	36	62	64	48
mukF	32	32	33	20
mukE	26	28	14	28
mukB	343	373	355	331
ldtD	94	67	125	138
ycbK	43	33	35	31
gloC	80	53	66	72
aspC	188	188	187	188
ompF	1757	1648	2288	2433
asnS	357	369	282	238
pncB	175	125	87	61
pepN	198	175	251	252
ssuB	3	0	1	0
ssuC	0	0	0	0
ssuD	0	1	2	1
ssuA	0	0	0	0
ssuE	0	0	2	0
elfA	0	2	0	1
elfD	0	0	1	0
elfC	5	2	2	2
elfG	7	4	2	0
ycbU	1	0	0	1
ycbV	0	0	2	0
ycbF	3	3	5	3
pyrD	45	39	29	29
zapC	10	8	4	6
ycbX	45	43	47	28
rlmL	141	147	86	89
uup	114	149	60	76
pqiA	32	25	12	17
pqiB	57	57	40	24
pqiC	26	18	17	11
rmf	0	3	8	7
fabA	413	315	231	219
ycbZ	212	179	154	148
matP	9	14	11	25
ompA	5765	6459	6374	7315
sulA	12	19	9	18
sxy	3	3	5	10
yccS	45	62	29	42
yccF	6	6	4	8
helD	55	50	67	79
mgsA	216	180	334	394
yccT	1	0	2	3
yccU	33	24	34	47
hspQ	7	9	11	11
rlmI	67	60	21	33
yccX	0	1	2	0
tusE	8	6	4	3
yccA	248	187	200	189
serT	0	0	0	0
hyaA	2	0	0	8
hyaB	3	0	1	2
hyaC	0	1	0	0
hyaD	2	1	1	3
hyaE	1	0	0	2
hyaF	1	2	0	3
appC	3	1	4	2
appB	2	3	4	1
appX	0	0	0	0
appA	2	3	5	4
etk	8	8	10	6
etp	0	0	0	0
gfcE	2	0	0	1
